College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
Taxila Business School,"Jaipur,  Rajasthan",AICTE,Estd 2003,Private,8.3,"Taxila Business School , Jaipur (TBS), is one of the best management institutes in Jaipur. Taxila offers 2 years PGDM + SAP with Business Analytics program recognized by AICTE. Taxila Business School Admissions is through various entrance tests such as CAT/MAT/XAT/CMAT or GMAT."
BIMTECH,"Greater Noida,  Uttar Pradesh","AICTE, NBA, AIU, AACSB",Estd 1988,Private (Autonomous),7.8,"Birla Institute of Management Technology (BIMTECH) is one of the top management institutes in India, established in 1988, and is supported by the Birla group of companies. BIMTECH has been ranked 48th by NIRF 2023 among the top 100 management institutes in India. BIMTECH offers a 2-year flagship PGDM program and offers 240 seats + 45 Supernumerary seats. "
LBSIM,"New Delhi,  Delhi NCR","AICTE, NBA, AACSB",Estd 1995,Private,7.8,"Established in 1995, LBSIM stands as one of the premier business schools in Delhi NCR, consistently ranking among the top five. The institute has earned its place among the top 20 private B-schools and the top 50 overall. Offering a flagship full-time PGDM program admitting 180 students, LBSIM provides specialization options across four areas."
MDI Murshidabad,"Murshidabad,  West Bengal","AICTE, NBA",Estd 2014,Private (Autonomous),8.4,Management Institute of Development (MDI) in Murshidabad is a private college offering a Postgraduate Diploma in Management with four specializations. MDIM has another branch in Gurugram commonly known as MDIG. Admission to PGDM is via the CAT entrance exam.
WOXSEN School of Business,"Hyderabad,  Telangana","NBA, AACSB, AMBA",Estd 2014,Private,8.3,"Woxsen School of Business, Hyderabad was established in 2014 and offers diverse degree programs catering to a range of academic pursuits. Woxsen offers industry-responsive UG and PG degree programs, leading to new-age careers. Robust curriculum is meticulously designed to empower students with frameworks to lay business and technological foundations as corporate leaders, skilled professionals and entrepreneurs."
IBS Hyderabad Admission 2024,"Hyderabad,  Telangana","CRISIL, AACSB",Estd 1995,Private,8.3,"IBS Hyderabad is a constituent of the ICFAI Foundation established in the year 1995 in Hyderabad, Telangana. IBS Hyderabad is approved by AICTE, UGC and AIU. It is one of the 19 business schools in the country to have received the globally accepted AACSB accreditation. IBS Hyderabad is ranked 40th by NIRF 2023 and 23rd by Business Today Ranking 2023, among the top B-Schools in India. IBS Hyderabad offers MBA as its flagship program."
Institute of Management Nirma University (IMNU),"Ahmedabad,  Gujarat",NBA,Estd 1996,Private,8.5,"Institute of Management, Nirma University (IMNU) offers flagship course of MBA in various specialisations and 2 intergrated courses. The institute also provides PhD (Full-time and Part time) and Diploma courses. Admission to the MBA course is based on valid scores in CAT followed by Personal Interview Round and Theme Development & Presentation (TDP) whereas Admission to BBA-MBA integrated program is based on valid scores in IPMAT. Admission to integrated B.Tech-MBA is based on valid scores in JEE Main. The total fees for MBA program is INR 10.88 Lacs"
SIES School of Business Studies,"Mumbai,  Maharashtra",AICTE,Estd 1997,Private Institute,7.9,"SIES School of Business Studies has been ranked 21st by Times B- School Survey 2023 among top B-Schools in India. The most popular course offered at the institute is PGDM, PGDM Biotechnology and PGDM Pharmaceutical Management. These courses are offered in 5 specializations: Marketing, Finance, Operations, Information Technology and Business Analytics."
Dr. D.Y. Patil B-School,"Pune,  Maharashtra",AICTE,Estd 2017,Private,,"Established in 2014, Dr. D.Y. Patil B-School, Pune is a private college under Dr. D. Y. Patil Vidyapeeth, approved by AICTE. It has been ranked 19th among the top management institutes in India by Time B School 2023. The college offers a 2 year Post Graduate Diploma in Management (PGDM) and a Post Graduate Diploma in Management-Business Administration (PGDM BA). The admission into the PGDM Course at Dr. D.Y. Patil B-School, candidates must appear for at least one national level exam like CAT, MAT, XAT, CMAT or ATMA. The institute is accepting applications for the academic year 2024. Candidates may apply to the courses by filling out the application form available on Dr. D.Y. Patil B-School’s official website. "
"Department of Commerce, DU","New Delhi,  Delhi NCR",,Estd 1967,Public,8.4,Department of Commerce functions under Delhi School of Economics (DSE) which is an academic constituent of Delhi University. It was formally established in 1967 offers PG and Doctoral level programs in Management and Commerce streams. 
College of Engineering Guindy,"Chennai,  Tamil Nadu",AICTE,Estd 1794,Public,8.4,"The College of Engineering, Guindy (CEG), is one of the top engineering colleges in the country and is affiliated to Anna University. It has been ranked at 9th position among the engineering colleges in India by NIRF 2019 Ranking. The college offers a range of B.Tech and M.Tech courses under various specializations. There are a total of 14 departments in the college. In addition to these courses, CEG also offers other PG Courses such as MBA, MCA, M.Sc, and Ph.D."
"Apeejay School of Management - [ASM], New Delhi","New Delhi,  Delhi NCR","AICTE, NBA, AIU",Estd 1993,Private,7.7,Apeejay School of Management (ASM) is ranked among the top league of 20 B-School in India. ASM Dwarka is famous for its PGDM/ MBA program and has a record of providing 95% placement to students. More than 130+ companies visited for on-campus recruitment. The highest package was recorded at INR 20.1 LPA. It offers a full-time Post Graduate Diploma in Management (PGDM) program.
NLU Delhi (NLUD),"New Delhi,  Delhi NCR",,Estd 2008,State University,8.8,"National Law University (NLU), Delhi is one of the famous national law schools which have been built for the purpose of offering the five year law degree in India by Bar Council of India (BCI). NLU Delhi has been ranked at 2nd position for Law by NIRF in 2023. NLU Delhi Courses are offered to more than 100 students every year at undergraduate as well as postgraduate level with a brilliant and experienced faculty for providing guidance & motivation. Instead of CLAT, NLU Delhi conducts All India Law Entrance Test (AILET) on the basis of which admission is granted to the undergraduate and postgraduate courses. However, admission to PhD is also given on the basis of Ph.D. entrance exam conducted by the University. Check More: NLU Delhi Admission"
Welingkar Bangalore,"Bangalore,  Karnataka",AICTE,Estd 2008,Private,8.0,"S.P. Mandali's Prin. L.N. Welingkar Institute of Management Development & Research (WeSchool), Bengaluru, functions under the aegis of S.P Mandali Trust, an educational society of repute based in Pune, Maharashtra. WeSchool has a state-of-the-art campus in Mumbai and Bengaluru. Welingkar Bangalore campus has steered its’ way in Management Development & Research through pioneering programs for freshers and working executives. The campus situated in Electronic City Phase 1 is a prime location for academia-corporate connect with leading IT companies in its’ neighbourhood. Welingkar Bangalore Campus offers 2 years of full-time PGDM programs approved by AICTE. The institute offers PGDM - PGDM flagship program’s multidisciplinary learning offers a fine blend of general management and functional specializations offered in Marketing, Finance, Human Resources, and Operations. "
Great Lakes Gurgaon,"Gurgaon,  Haryana","AICTE, NBA, AMBA",Estd 2010,Private,8.4,Great Lakes Gurgaon is ranked 62nd in NIRF 2023 in the Management Category. Great Lakes Gurgaon is one of the youngest B-schools in India with an Industry 4.0-Ready Cutting-Edge Curriculum and World-renowned Faculty. The institute has been ranked among the top 5 emerging B-School in India by NHRDN.  Great Lakes Gurgaon offers 2 year MBA (PGDM) for professionals with 0-2 years of work experience and One Year MBA(PGPM) for professionals with work experience as its prominent full-time AICTE approved flagship programs. Read More Great Lakes Gurgaon Courses
IIFM Bhopal,"Bhopal,  Madhya Pradesh",AICTE,Estd 1982,Public Institute (Autonomous),8.8,"The Indian Institute of Forest Management (IIFM), Bhopal was founded in 1982 is an autonomous institution under the Ministry of Environment, Forest and Climate Change, Government of India, IIFM was conceptualized in response to the recommendations of the National Commission on Agriculture. This culminated in an alliance with the Indian Institute of Management, Ahmedabad and IIFM evolved.  "
XIME Bangalore,"Bangalore,  Karnataka",AICTE,Estd 1991,Private,8.2,"XIME Bangalore was established in 1991 and is one of the top B-Schools of India, with two other residential campuses in Chennai and Kochi. Since its inception, XIME has been shaping future leaders and hence contributing towards nation-building. The institute believe there are multiple paths towards true leadership. And at XIME, it provides the environment for each student to discover their own. For some, it’s discovering hidden facets of themselves that inspire others. For most, the two years spent on XIME’s stimulating, challenging, yet nurturing campus have been transformative."
CMC Vellore,"Vellore,  Tamil Nadu",MCI,Estd 1900,Private Institute,8.8,The following table consists of highlights of CMC Vellore: 
SIDTM Pune,"Pune,  Maharashtra",AICTE,Estd 1996,Private,8.9,
"International School of Management Studies - [ISMS], Pune","Pune,  Maharashtra","AICTE, UGC",Estd 2009,Private,8.1,"International School of Management Studies [ISMS] Pune, Maharashtra was established in 2009. The institute is accredited by Edexcel- UK. ISMS is affiliated to Savitribai Phule Pune University and approved by All India Council for Technical Education (AICTE) and University Grants Commission (UGC). The institute has won Enterpreneurial & Innovative Excellence Award by NIIEM, 2021 and Promising B-School of New Age by The Voices 2020. Further, the institute has ranked 11th in What if not in IIMS B-School Survey by Silicon India, 2021. "
SGPGI,"Lucknow,  Uttar Pradesh",MCI,Estd 1980,Government,8.0,"Sanjay Gandhi Postgraduate Institute of Medical Sciences (SGPGIMS), popularly known as SGPGI Lucknow, is a prominent medical institute in India established in 1983 in Uttar Pradesh to provide postgraduate education in the field of Medical Sciences. SGPGI was established as a Centre of Excellence in Uttar Pradesh for providing medical care, education, and research. The institute is recognized by UGC and is approved by the Medical Council of India (MCI). SGPGI has been ranked 7th in India by NIRF Ranking and 8th in India by IIRF Ranking in 2023 in the Medical Category. The institute offers postgraduate and super specialty courses in various specializations. MD, MS, DM, and M.Ch are the major courses offered by SGPGIMS. Along with PG Courses, SGPGIMS Lucknow also provides B.Sc and M.Sc in Allied Health Sciences. Admissions to most of the courses at SGPGI are entrance-based. "
Praxis Business School,"Kolkata,  West Bengal",AICTE,Estd 2007,Private,8.6,"Praxis Business School is one of the top private B-Schools established in the year 2007 popularly known as PBS Kolkata. The institute is approved by AICTE. It offers admission to a 2-year Post Graduate Diploma in Management (PGDM) in the disciplines of Marketing, Finance, Human Resource, Management, Data Science and Production Management. Apart from this, PBS Kolkata also offers a 9-month PG Program in Data Engineering in regular and online modes. Praxis Business School has been ranked 2nd in Kolkata and 4th in East India for PGDM by Times B School Survey 2022. "
